task               model                        ver  size  rows   $/row  in/row  out/row
count-engine       claude-haiku-4-5-20251001    v7     11    26  0.0022    1810       70
count-engine       claude-haiku-4-5-20251001    v7    110    21  0.0022    1810       70
count-engine       claude-haiku-4-5-20251001    v7    330    21  0.0022    1811       70
count-engine       claude-opus-5-default        v7     11    26  0.0112    1796      116
count-engine       claude-opus-5-default        v7    110    21  0.0116    1801      125
count-engine       claude-opus-5-default        v7    330    21  0.0119    1802      125
count-engine       claude-sonnet-5-default      v2   1100     1  0.0067    2525      168
count-engine       claude-sonnet-5-default      v7     11    26  0.0051    1966      121
count-engine       claude-sonnet-5-default      v7    110    21  0.0045    1770       99
count-engine       claude-sonnet-5-default      v7    330    21  0.0043    1721       90
count-engine       gemini-2.5-flash             v1     11    26  0.0006     493      184
count-engine       gemini-2.5-flash             v1    110     5  0.0007     479      226
count-engine       gemini-2.5-flash             v1   1100     2  0.0006     514      166
count-engine       gemini-2.5-flash             v2     11    26  0.0006     486      193
count-engine       gemini-2.5-flash             v2    110    21  0.0007     607      220
count-engine       gemini-2.5-flash             v2   1100    21  0.0008     645      238
count-engine       gemini-2.5-flash             v7     11    26  0.0006     497      192
count-engine       gemini-2.5-flash             v7    110    21  0.0007     502      200
count-engine       gemini-2.5-flash             v7    330    21  0.0006     507      190
count-engine       gemini-3.5-flash-lite        v2     11    10  0.0002     536       30
count-engine       gemini-3.5-flash-lite        v2    110     1  0.0002     547       34
count-engine       gemini-3.7-flash             v1     11    26  0.0009     629      116
count-engine       gemini-3.7-flash             v1    110    21  0.0010     655      125
count-engine       gemini-3.7-flash             v1   1100    21  0.0010     673      129
count-engine       gemini-3.7-flash             v2     11    26  0.0009     630      118
count-engine       gemini-3.7-flash             v2    110    21  0.0010     656      124
count-engine       gemini-3.7-flash             v2   1100    21  0.0010     674      132
count-engine       gemini-3.7-flash             v3     11    26  0.0009     627      111
count-engine       gemini-3.7-flash             v3    110    21  0.0010     654      122
count-engine       gemini-3.7-flash             v3   1100    21  0.0010     676      129
count-engine       gemini-3.7-flash             v7     11    26  0.0009     629      116
count-engine       gemini-3.7-flash             v7    110    21  0.0010     654      124
count-engine       gemini-3.7-flash             v7    330    21  0.0010     659      127
count-engine       gemini-3.8-flash             v7     11    26  0.0010     634      129
count-engine       gemini-3.8-flash             v7    110    21  0.0011     664      147
count-engine       gemini-3.8-flash             v7    330    21  0.0010     659      135
count-engine       gemma-4-26b-a4b-it           v2     11    24  0.0004     870      396
count-engine       gemma-4-26b-a4b-it           v2    110    20  0.0003     645      325
count-engine       gemma-4-26b-a4b-it           v2   1100    21  0.0003     775      384
count-engine       gemma-4-26b-a4b-it           v7     11    26  0.0003     587      275
count-engine       gemma-4-26b-a4b-it           v7    110    21  0.0003     686      321
count-engine       gemma-4-26b-a4b-it           v7    330    21  0.0003     634      325
count-engine       gpt-5.4-mini-2026-03-17      v7     11    26  0.0007     723       35
count-engine       gpt-5.4-mini-2026-03-17      v7    110    21  0.0007     723       35
count-engine       gpt-5.4-mini-2026-03-17      v7    330    21  0.0007     724       35
count-engine       gpt-5.4-nano-2026-03-17      v2     11     1  0.0002     735       38
count-engine       gpt-5.4-nano-2026-03-17      v2   1100    19  0.0002     739       36
