task               model                        ver  size  rows   $/row  in/row  out/row
count-engine       claude-sonnet-5-default      v2   1100     1  0.0067    2525      168
count-engine       gemini-2.5-flash             v1     11    26  0.0006     493      184
count-engine       gemini-2.5-flash             v1    110     5  0.0007     479      226
count-engine       gemini-2.5-flash             v1   1100     2  0.0006     514      166
count-engine       gemini-2.5-flash             v2     11    26  0.0006     486      193
count-engine       gemini-2.5-flash             v2    110    21  0.0007     607      220
count-engine       gemini-2.5-flash             v2   1100    21  0.0008     645      238
count-engine       gemini-3.5-flash-lite        v2     11    10  0.0002     536       30
count-engine       gemini-3.5-flash-lite        v2    110     1  0.0002     547       34
count-engine       gemini-3.7-flash             v1     11    26  0.0009     629      116
count-engine       gemini-3.7-flash             v1    110    21  0.0010     655      125
count-engine       gemini-3.7-flash             v1   1100    21  0.0010     673      129
count-engine       gemini-3.7-flash             v2     11    26  0.0009     630      118
count-engine       gemini-3.7-flash             v2    110    21  0.0010     656      124
count-engine       gemini-3.7-flash             v2   1100    21  0.0010     674      132
count-engine       gemini-3.7-flash             v3     11    26  0.0009     627      111
count-engine       gemini-3.7-flash             v3    110    21  0.0010     654      122
count-engine       gemini-3.7-flash             v3   1100    21  0.0010     676      129
count-engine       gemma-4-26b-a4b-it           v2     11    24  0.0004     870      396
count-engine       gemma-4-26b-a4b-it           v2    110    20  0.0003     645      325
count-engine       gemma-4-26b-a4b-it           v2   1100    21  0.0003     775      384
count-engine       gpt-5.4-nano-2026-03-17      v2     11     1  0.0002     735       38
count-engine       gpt-5.4-nano-2026-03-17      v2   1100    19  0.0002     739       36
count-engine       gpt-oss-20b                  v2     11    13  0.0001     746      430
count-engine       gpt-oss-20b                  v2    110    20  0.0002     875      459
count-engine       gpt-oss-20b                  v2   1100    21  0.0002     973      445
count-in-context   gemini-2.5-flash             v1     11    26  0.0008      75      300
count-in-context   gemini-2.5-flash             v1    110    21  0.0041     559     1571
count-in-context   gemini-2.5-flash             v1   1100    21  0.0517    6360    19897
count-in-context   gemini-2.5-flash             v2     11    26  0.0008      75      306
count-in-context   gemini-2.5-flash             v2    110    21  0.0043     559     1670
count-in-context   gemini-2.5-flash             v2   1100    21  0.0382    6360    14508
count-in-context   gemini-3.7-flash             v1     11    26  0.0009      70      224
count-in-context   gemini-3.7-flash             v1    110    21  0.0059     554     1457
count-in-context   gemini-3.7-flash             v1   1100    21  0.0447    6355    10639
count-in-context   gemini-3.7-flash             v2     11    26  0.0009      70      232
count-in-context   gemini-3.7-flash             v2    110    21  0.0059     554     1469
count-in-context   gemini-3.7-flash             v2   1100    21  0.0413    6355     9755
count-in-context   gemini-3.7-flash             v3     11    26  0.0009      70      214
count-in-context   gemini-3.7-flash             v3    110    21  0.0060     554     1480
count-in-context   gemini-3.7-flash             v3   1100    21  0.0343    6355     7874
count-python-tool  gemini-2.5-flash             v1     11    25  0.0008     555      250
count-python-tool  gemini-2.5-flash             v1    110     2  0.0011    2017      214
count-python-tool  gemini-2.5-flash             v2     11    20  0.0008     568      247
count-python-tool  gemini-2.5-flash             v2    110     2  0.0012    2005      233
count-python-tool  gemini-3.7-flash             v1     11    26  0.0017     882      266
count-python-tool  gemini-3.7-flash             v1    110    21  0.0020    2070      110
count-python-tool  gemini-3.7-flash             v1   1100    21  0.0150   19485       96
count-python-tool  gemini-3.7-flash             v2     11    26  0.0016     876      250
count-python-tool  gemini-3.7-flash             v2    110    21  0.0019    2069       99
count-python-tool  gemini-3.7-flash             v2   1100    21  0.0155   20126      104
count-python-tool  gemini-3.7-flash             v3     11    26  0.0016     888      262
count-python-tool  gemini-3.7-flash             v3    110    21  0.0020    2115      113
count-python-tool  gemini-3.7-flash             v3   1100    21  0.0150   19480       92
